Genre,Count
dance pop,327
pop,60
canadian pop,34
barbadian pop,15
boy band,15
electropop,13
british soul,11
big room,10
neo mellow,9
canadian contemporary r&b,9
art pop,8
hip pop,6
complextro,6
australian dance,6
atl hip hop,5
australian pop,5
edm,5
permanent wave,4
hip hop,4
latin,4
colombian pop,3
tropical house,3
detroit hip hop,2
indie pop,2
acoustic pop,2
baroque pop,2
electro,2
canadian hip hop,2
candy pop,2
folk-pop,2
belgian edm,2
electronic trap,2
downtempo,2
brostep,2
escape room,2
chicago rap,1
celtic rock,1
alaska indie,1
metropopolis,1
house,1
australian hip hop,1
hollywood,1
irish singer-songwriter,1
french indie pop,1
danish pop,1
canadian latin,1
electro house,1
contemporary country,1
moroccan pop,1
alternative r&b,1
